"","gender","t","meanpay","n"
"1","men",0,3168.41788742049,2146
"2","men",1,3569.63436754024,2074
"3","men",2,3872.55270653208,2023
"4","men",3,4191.34626073938,1955
"5","men",4,4552.52857901771,1899
"6","men",5,4982.99743635694,1857
"7","men",6,5337.82636822596,1782
"8","men",7,5662.21278560658,1695
"9","men",8,6033.38117456079,1599
"10","men",9,6508.95820730056,1517
"11","men",10,6991.86160183859,1445
"12","men",11,7442.69582772137,1267
"13","men",12,7795.7258905102,1089
"14","men",13,8352.06058872484,890
"15","men",14,8808.57555915912,690
"16","men",15,9308.18932124814,490
"17","men",16,10160.8937507234,312
"18","men",17,10198.2486864695,153
"19","women",0,2956.49241526993,2165
"20","women",1,3277.56835826359,2125
"21","women",2,3527.35589643228,2071
"22","women",3,3812.93762291177,2019
"23","women",4,4177.45239880675,1958
"24","women",5,4593.56587419482,1879
"25","women",6,4937.88731629944,1791
"26","women",7,5251.1153914838,1646
"27","women",8,5497.68775825138,1522
"28","women",9,5780.28268370919,1392
"29","women",10,6146.11520274492,1279
"30","women",11,6561.7302040254,1115
"31","women",12,6988.63040712904,917
"32","women",13,7353.00739236172,730
"33","women",14,7558.17868430798,559
"34","women",15,7954.96310067575,400
"35","women",16,8612.54054239392,232
"36","women",17,8728.31183751116,103
